Abbotsford,141682
Agassiz,11761
Alexis Creek,11761
Atlin,557
Burnaby,223073
Campbell River,38047
Castlegar,12546
Cedar,10300
Chemainus,66795
Chilliwack,89788
Comox,17208
Coquitlam,71417
Courtenay,38795
Cranbrook,25413
Dawson Creek,15676
Delta,102913
Duncan,34378
Esquimalt,38699
Fernie,33080
Fort Nelson,28830
Gold River,6726
Golden,13920
Highlands,44244
Hope,20629
Kamloops,95656
Kelowna,145707
Kimberley,8414
Kitimat,8131
Ladysmith,14772
Langley,143758
Maple Ridge,82251
Merritt,9265
Metchosin,22785
Mission,33534
Mission,7326
Nanaimo,89054
Nelson,16801
New Westminster,71147
Oak Bay,40674
Parksville,25359
Penticton,37469
Pitt Meadows,18861
Port Alberni,25269
Port Coquitlam,134707
Port Edward,2033
Port Moody,37222
Powell River,18135
Prince Rupert,12275
Prince George,86326
Qualicum,15654
Queen Charlotte City,8645
Quesnel,22667
Revelstoke,65606
Richmond,198309
Rossland,26047
Saanich,129275
Salmon Arm,19344
Saltspring Island,10561
Sidney,23422
Smithers,52919
Sooke,17722
Squamish,11772
St John,23782
Summerland,53380
Surrey,518180
Terrace,19144
Trail,10021
Vancouver,836632
Vernon,62819
Victoria,51229
Westbank,27996
Whistler,79501
White Rock,19952
Williams Lake,17970
Winfield,14614
